0,Q,0
1,Q,0
1,S,1
1,D,1
1,U,1
1,E,1
1,W,1
1,N,1
2,Q,0
2,S,2
2,E,2
3,Q,0
3,W,3
4,Q,0
4,S,4
4,D,4
4,E,4
4,U,4
4,W,4
4,N,4
5,Q,0
5,S,5
5,D,5
5,E,5
5,W,5
5,N,5
6,Q,0
6,S,6
6,D,6
6,E,6
6,W,6
6,N,6
7,Q,0
7,S,7
7,E,7
7,N,7
7,W,7
8,Q,0
8,S,8
8,E,8
8,N,8
8,W,8
9,Q,0
9,W,9
10,Q,0
10,E,10
10,W,10
11,Q,0
11,E,11
11,U,11
11,W,11
12,Q,0
12,D,12
12,E,12
12,U,12
12,W,12
13,Q,0
13,E,13
13,W,13
14,Q,0
14,D,14
14,E,14
14,W,14
15,Q,0
15,S,15
15,D,15
15,U,15
15,W,15
15,N,15
16,Q,0
16,E,16
17,Q,0
17,E,17
18,Q,0
18,N,18
19,Q,0
19,U,19
19,E,19
19,N,19
20,Q,0
21,Q,0
22,Q,0
23,Q,0
23,D,23
23,E,23
23,W,23
24,Q,0
24,U,24
25,Q,0
25,U,25
26,Q,0
27,Q,0
27,N,27
27,W,27
28,Q,0
28,S,28
28,D,28
28,N,28
29,Q,0
29,N,29
30,Q,0
30,E,30
30,U,30
30,W,30
31,Q,0
32,Q,0
33,Q,0
33,S,33
33,E,33
33,W,33
34,Q,0
34,D,34
34,U,34
35,Q,0
35,E,35
36,Q,0
36,E,36
36,U,36
36,W,36
37,Q,0
37,D,37
37,W,37
38,Q,0
38,U,38
39,Q,0
39,D,39
39,E,39
40,Q,0
41,Q,0
41,S,41
41,U,41
41,E,41
41,W,41
41,N,41
42,Q,0
42,S,42
42,U,42
42,E,42
42,W,42
42,N,42
43,Q,0
43,S,43
43,E,43
43,W,43
44,Q,0
44,S,44
44,D,44
44,E,44
44,N,44
45,Q,0
45,S,45
45,D,45
45,E,45
45,U,45
45,W,45
45,N,45
46,Q,0
46,W,46
47,Q,0
47,E,47
48,Q,0
48,U,48
49,Q,0
49,E,49
49,W,49
50,Q,0
50,S,50
50,D,50
50,E,50
50,W,50
51,Q,0
51,S,51
51,U,51
51,E,51
51,W,51
52,Q,0
52,S,52
52,D,52
52,E,52
52,U,52
52,W,52
52,N,52
53,Q,0
53,S,53
53,N,53
53,W,53
54,Q,0
54,W,54
55,Q,0
55,D,55
55,E,55
55,N,55
55,W,55
56,Q,0
56,U,56
57,Q,0
57,S,57
57,D,57
57,E,57
57,W,57
57,N,57
58,Q,0
58,E,58
59,Q,0
60,Q,0
60,D,60
60,E,60
60,U,60
60,W,60
60,N,60
61,Q,0
61,E,61
61,N,61
62,Q,0
62,S,62
62,E,62
62,N,62
62,W,62
63,Q,0
63,S,63
64,Q,0
64,U,64
64,E,64
64,N,64
64,W,64
65,Q,0
65,D,65
65,E,65
65,U,65
65,W,65
65,N,65
66,Q,0
66,E,66
66,NE,66
66,W,66
67,Q,0
67,D,67
67,E,67
67,W,67
68,Q,0
68,S,68
68,U,68
68,N,68
69,Q,0
69,S,69
69,D,69
69,N,69
70,Q,0
70,S,70
70,D,70
70,N,70
71,Q,0
71,SE,71
71,S,71
71,N,71
72,Q,0
72,SE,72
72,SW,72
72,N,72
73,Q,0
73,S,73
74,Q,0
74,D,74
74,E,74
74,W,74
75,Q,0
75,S,75
75,N,75
76,Q,0
76,N,76
77,Q,0
77,E,77
77,N,77
77,W,77
78,Q,0
78,S,78
79,Q,0
80,Q,0
80,S,80
80,E,80
80,N,80
80,W,80
81,Q,0
81,W,81
82,Q,0
82,S,82
83,Q,0
83,S,83
83,E,83
83,W,83
84,Q,0
84,NW,84
84,N,84
84,W,84
85,Q,0
85,E,85
86,Q,0
86,U,86
87,Q,0
87,D,87
87,U,87
88,Q,0
88,D,88
88,E,88
88,W,88
89,Q,0
90,Q,0
91,Q,0
91,D,91
91,N,91
92,Q,0
92,S,92
92,E,92
92,N,92
93,Q,0
93,S,93
94,Q,0
94,S,94
95,Q,0
95,S,95
95,W,95
96,Q,0
96,W,96
97,Q,0
97,SE,97
97,U,97
97,N,97
97,W,97
98,Q,0
98,S,98
98,W,98
99,Q,0
99,NW,99
99,E,99
100,Q,0
100,W,100
100,NE,100
101,Q,0
101,S,101
102,D,102
102,Q,0
103,Q,0
103,S,103
103,D,103
103,U,103
104,Q,0
104,D,104
104,U,104
105,Q,0
105,U,105
106,Q,0
106,U,106
106,E,106
106,W,106
107,Q,0
107,SE,107
107,S,107
107,SW,107
107,D,107
107,U,107
107,E,107
107,NE,107
107,W,107
107,NW,107
107,N,107
108,Q,0
108,E,108
109,Q,0
109,S,109
109,N,109
110,Q,0
110,W,110
111,Q,0
111,D,111
111,N,111
112,Q,0
112,SE,112
112,S,112
112,SW,112
112,D,112
112,E,112
112,U,112
112,NE,112
112,W,112
112,NW,112
112,N,112
113,Q,0
113,S,113
114,Q,0
114,SE,114
115,SW,115
115,Q,0
116,Q,0
116,NE,116
117,SW,117
117,Q,0
118,Q,0
118,D,118
118,U,118
119,Q,0
119,N,119
120,Q,0
120,E,120
120,N,120
121,Q,0
121,E,121
122,Q,0
122,NE,122
123,Q,0
123,E,123
123,W,123
124,Q,0
124,SE,124
124,D,124
124,W,124
124,NE,124
125,Q,0
125,S,125
125,E,125
125,N,125
126,Q,0
126,S,126
127,Q,0
127,W,127
128,Q,0
128,S,128
128,D,128
128,U,128
128,N,128
129,Q,0
129,U,129
129,E,129
129,W,129
130,Q,0
130,W,130
131,Q,0
131,SE,131
131,S,131
131,SW,131
131,D,131
131,U,131
131,E,131
131,W,131
131,NE,131
131,NW,131
131,N,131
132,Q,0
132,SE,132
132,S,132
132,SW,132
132,D,132
132,U,132
132,E,132
132,W,132
132,NE,132
132,NW,132
132,N,132
133,Q,0
133,SE,133
133,S,133
133,D,133
133,SW,133
133,U,133
133,E,133
133,W,133
133,NE,133
133,NW,133
133,N,133
134,Q,0
134,SE,134
134,S,134
134,D,134
134,SW,134
134,E,134
134,U,134
134,NE,134
134,W,134
134,NW,134
134,N,134
135,Q,0
135,SE,135
135,S,135
135,D,135
135,SW,135
135,E,135
135,U,135
135,W,135
135,NE,135
135,NW,135
135,N,135
136,Q,0
136,SE,136
136,S,136
136,SW,136
136,D,136
136,E,136
136,U,136
136,W,136
136,NE,136
136,NW,136
136,N,136
137,Q,0
137,SE,137
137,S,137
